Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration,Time JD
46438,-49456,5,T,-0.2701,1.0733,6.0,-33.3,74,344,247.0,397,991085.6353125001
46426,-49450,10,A,-0.2317,0.9382,-32.9,10.8,76,21,236.0,404,991262.489849537
46415,-49444,15,T,0.4994,1.0284,46.2,83.4,60,151,111.0,135,991440.2564351852
46403,-49438,20,A,-0.9045,0.9806,-67.8,-143.8,25,74,162.0,74,991616.7479513889
46393,-49433,-13,P,-1.467,0.1611,-60.6,-106.4,0,281,0.0,0,991765.0555092592
46391,-49432,25,P,1.3253,0.4035,61.7,-151.7,0,55,0.0,0,991794.614988426
46381,-49427,-8,P,1.1669,0.6954,60.6,-22.7,0,265,0.0,0,991941.8346296296
46379,-49426,30,P,-1.5183,0.0377,-61.5,-27.7,0,120,0.0,0,991971.2839004629
46369,-49421,-3,A,-0.7231,0.9464,-38.2,-167.2,43,321,277.0,311,992119.0797685185
46358,-49415,2,T,0.5166,1.0257,28.8,38.6,59,214,101.0,124,992296.4747337963
46346,-49409,7,A,0.0609,0.9873,-0.2,112.7,87,151,45.0,77,992473.2256018519
46334,-49403,12,A,-0.1863,0.9766,-3.1,-150.0,79,29,85.0,142,992650.9388194444
46322,-49397,17,T,0.8091,1.0333,39.4,-73.3,36,142,186.0,155,992827.6665509259
46310,-49391,22,A,-0.9265,0.9249,-48.2,116.1,22,42,733.0,418,993005.1055555556
46301,-49386,-11,P,-1.0699,0.8826,-62.7,-23.1,0,222,0.0,0,993152.9872685187
46299,-49385,27,Pb,1.4907,0.0754,61.2,11.4,0,114,0.0,0,993182.3251041666
46289,-49380,-6,P,1.3116,0.4292,63.5,-166.7,0,327,0.0,0,993329.3993749999
46277,-49374,-1,T,-0.3875,1.0181,-44.1,-13.3,67,340,67.0,90,993507.6071064816
46265,-49368,4,H,0.5182,1.0059,54.0,-39.0,59,197,24.0,29,993683.6689467592
46253,-49362,9,A,0.346,0.9599,-3.5,-160.1,70,170,155.0,303,993861.9789583334
46242,-49356,14,T,-0.2421,1.0606,10.0,106.3,76,6,205.0,350,994038.2320833333
46230,-49350,19,P,1.0749,0.8256,65.4,163.3,0,167,0.0,0,994216.0486226853
46218,-49344,24,T,-0.9623,1.0609,-51.2,-149.5,15,2,756.0,270,994392.9375694444
46208,-49339,-9,P,-1.2517,0.5316,-69.3,-67.4,0,150,0.0,0,994540.3066782407
46196,-49333,-4,H,0.8616,1.0067,72.1,79.4,30,139,46.0,27,994718.2059953703
46185,-49327,1,H,-0.5096,1.0036,-44.0,-54.1,59,19,14.0,18,994894.6524652778
46173,-49321,6,A,0.0987,0.9652,18.3,16.8,84,165,126.0,251,995072.4784490741
46161,-49315,11,T,0.1768,1.0435,-0.6,106.5,80,196,148.0,244,995249.2408217592
46149,-49309,16,A,-0.6733,0.9464,-31.9,17.1,47,341,264.0,370,995426.5207291667
46138,-49303,21,T,0.846,1.026,48.3,-107.1,32,207,165.0,118,995603.8896759258
46128,-49298,-12,P,1.3284,0.3949,71.2,79.3,0,111,0.0,0,995751.1297569445
46126,-49297,26,P,-1.4035,0.2645,-71.5,44.6,0,285,0.0,0,995780.6216319446
46116,-49292,-7,P,-1.2711,0.4983,-71.0,-155.5,0,58,0.0,0,995928.8022453703
46104,-49286,-2,T,0.5312,1.049,20.3,-44.2,58,163,191.0,269,996105.6434722221
46093,-49280,3,A,-0.5977,0.9272,-21.9,-138.3,53,15,338.0,562,996282.8951736111
46081,-49274,8,T,-0.1975,1.069,-25.5,81.9,78,345,229.0,353,996460.327523148
46069,-49268,13,A,0.1151,0.9402,24.0,-123.1,83,191,223.0,447,996636.8813194444
46057,-49262,18,T,-0.9309,1.0259,-79.1,-89.1,21,286,246.0,90,996814.9886111111
46046,-49256,23,A,0.8332,0.982,75.4,-168.1,33,209,116.0,75,996991.0716087963
46036,-49251,-10,P,1.1451,0.7132,65.6,-86.0,0,191,0.0,0,997139.8102430555
46024,-49245,-5,P,-1.0663,0.8933,-64.8,127.1,0,341,0.0,0,997316.2325231482
46022,-49244,33,Pb,1.4996,0.0678,67.5,157.3,0,351,0.0,0,997345.5697453703
46012,-49239,0,A,0.471,0.9191,4.2,-97.2,62,189,346.0,698,997493.818125
46000,-49233,5,T,-0.3407,1.0693,3.3,-146.8,70,348,240.0,388,997670.9459027777
45989,-49227,10,A,-0.2249,0.942,-35.0,-110.7,77,16,220.0,381,997847.8279513888
45977,-49221,15,T,0.4248,1.0242,45.0,-19.9,65,157,91.0,120,998025.551400463
45965,-49215,20,A,-0.9018,0.9845,-72.0,82.1,25,77,127.0,58,998202.1058449073
45955,-49210,-13,Pe,-1.5543,0.011,-60.9,147.5,0,290,0.0,0,998350.3208564814
45953,-49209,25,P,1.2453,0.5442,62.3,99.3,0,47,0.0,0,998379.8872569444
45944,-49204,-8,P,1.1691,0.691,60.8,-165.9,0,256,0.0,0,998527.2032638888
45942,-49203,30,P,-1.517,0.0392,-62.1,-171.7,0,130,0.0,0,998556.6536689815
45932,-49198,-3,A,-0.8065,0.9476,-40.6,97.8,36,321,315.0,300,998704.3461689815
45920,-49192,2,T,0.5237,1.0214,24.8,-94.0,58,213,84.0,107,998881.8350694445
45908,-49186,7,A,-0.0139,0.9927,0.4,8.5,89,330,26.0,44,999058.5123842593
45897,-49180,12,A,-0.1747,0.9713,-6.9,84.7,80,30,104.0,173,999236.280474537
45885,-49174,17,T,0.7436,1.0404,37.9,174.7,42,142,197.0,185,999412.9764583333
45873,-49168,22,A,-0.9053,0.9215,-48.2,-2.8,25,46,678.0,430,999590.4256597222
45863,-49163,-11,P,-1.1099,0.807,-62.0,-155.5,0,231,0.0,0,999738.324537037
45862,-49162,27,P,1.4354,0.1811,60.9,-115.5,0,105,0.0,0,999767.6477430555
45852,-49157,-6,P,1.3569,0.3516,62.7,73.8,0,318,0.0,0,999914.7003125
45840,-49151,-1,T,-0.423,1.0179,-43.3,-131.6,65,335,68.0,88,1000092.9403472221
45828,-49145,4,H,0.5677,1.0057,55.0,-147.6,55,205,24.0,27,1000268.9829513889
45817,-49139,9,A,0.3168,0.9602,-4.2,82.0,72,166,152.0,294,1000447.3009606481
45805,-49133,14,T,-0.1865,1.0601,12.9,-11.3,79,10,201.0,338,1000623.5544212962
45793,-49127,19,P,1.0502,0.8677,64.4,38.0,0,157,0.0,0,1000801.3636921296
45781,-49121,24,T,-0.9033,1.0603,-40.7,89.6,25,8,464.0,290,1000978.2566203703
45772,-49116,-9,P,-1.25,0.5347,-68.4,154.4,0,162,0.0,0,1001125.6520486112
45760,-49110,-4,A,0.9435,0.9992,81.4,-79.8,19,87,8.0,3,1001303.493414352
45748,-49104,1,H,-0.506,1.0069,-47.7,175.3,59,15,28.0,34,1001480.0155439815
45736,-49098,6,A,0.1869,0.9625,26.8,-82.7,79,167,138.0,263,1001657.7451851852
45725,-49092,11,T,0.1785,1.0442,-4.4,-29.3,80,193,150.0,250,1001834.6119097223
45713,-49086,16,A,-0.5839,0.9485,-22.1,-83.5,54,344,231.0,384,1002011.7816898148
45701,-49080,21,T,0.8487,1.0233,45.1,115.1,32,202,149.0,111,1002189.2576273149
45692,-49075,-12,P,1.389,0.2843,71.5,-42.9,0,98,0.0,0,1002336.4258912037
45690,-49074,26,P,-1.3203,0.411,-71.2,-70.6,0,298,0.0,0,1002365.8986342592
45680,-49069,-7,P,-1.2916,0.4628,-71.5,69.3,0,72,0.0,0,1002514.1342824075
45668,-49063,-2,T,0.5876,1.0537,27.8,-163.6,54,160,218.0,278,1002690.9605555555
45656,-49057,3,A,-0.6263,0.9232,-27.4,104.6,51,18,368.0,567,1002868.2078587962
45645,-49051,8,T,-0.1456,1.0719,-18.7,-38.7,82,344,236.0,374,1003045.6543287038
45633,-49045,13,A,0.0794,0.939,18.5,123.3,85,194,227.0,461,1003222.1911805555
45621,-49039,18,T,-0.889,1.0279,-71.9,125.0,27,312,208.0,104,1003400.3145949075
45610,-49033,23,A,0.7919,0.9831,67.9,73.2,37,209,98.0,74,1003576.3925115741
45600,-49028,-10,P,1.1713,0.6686,66.7,145.4,0,180,0.0,0,1003725.1332060185
45588,-49022,-5,P,-1.1238,0.7821,-65.8,0.1,0,351,0.0,0,1003901.5520023148
45586,-49021,33,P,1.454,0.154,68.5,25.2,0,340,0.0,0,1003930.8998148148
45577,-49016,0,A,0.4901,0.9215,5.4,144.8,61,185,340.0,686,1004079.1384027778
45565,-49010,5,T,-0.4077,1.0646,-0.1,98.3,66,352,231.0,372,1004256.2590162037
45553,-49004,10,A,-0.2134,0.9464,-35.9,129.6,77,11,202.0,354,1004433.1625462963
45541,-48998,15,T,0.3533,1.0193,43.0,-124.2,69,164,71.0,101,1004610.8479050926
45530,-48992,20,A,-0.8949,0.9893,-76.3,-47.3,26,77,85.0,39,1004787.4605902778
45518,-48986,25,P,1.1676,0.6797,63.1,-10.3,0,38,0.0,0,1004965.1609490741
45508,-48981,-8,P,1.169,0.691,61.1,50.2,0,247,0.0,0,1005112.5737384259
45506,-48980,30,P,-1.5144,0.0428,-62.9,44.7,0,139,0.0,0,1005142.0219097222
45497,-48975,-3,A,-0.8919,0.9479,-45.2,4.7,27,319,410.0,289,1005289.6108796297
45485,-48969,2,T,0.5271,1.0175,21.0,132.2,58,210,70.0,91,1005467.1980324073
45473,-48963,7,A,-0.0923,0.9977,0.6,-94.7,85,331,8.0,14,1005643.7968634259
45462,-48957,12,A,-0.1688,0.9665,-11.1,-42.0,80,30,122.0,203,1005821.6262037037
45450,-48951,17,T,0.6719,1.0468,37.0,64.7,48,142,206.0,212,1005998.2818518518
45438,-48945,22,A,-0.8914,0.9183,-49.8,-124.6,27,49,664.0,436,1006175.7516203704
45428,-48940,-11,P,-1.1573,0.7169,-61.4,74.5,0,240,0.0,0,1006323.6555208333
45426,-48939,27,P,1.3744,0.2986,60.7,119.5,0,96,0.0,0,1006352.9656597223
45417,-48934,-6,P,1.3938,0.2884,62.0,-48.2,0,308,0.0,0,1006500.0088310185
45415,-48933,32,Pb,-1.566,0.0061,-60.7,-147.1,0,77,0.0,0,1006529.7173379629
45405,-48928,-1,T,-0.4649,1.0176,-42.2,111.9,62,330,68.0,85,1006678.2676388889
45393,-48922,4,H,0.61,1.0054,54.4,100.8,52,212,23.0,25,1006854.3035879629
45382,-48916,9,A,0.2811,0.9608,-4.4,-33.4,74,162,148.0,281,1007032.616550926
45370,-48910,14,T,-0.1359,1.0589,14.5,-130.1,82,15,196.0,322,1007208.8811805556
45358,-48904,19,A+,1.0192,0.9207,63.4,-84.9,0,147,0.0,0,1007386.6732523148
45347,-48898,24,T,-0.8494,1.058,-34.1,-31.5,32,12,361.0,291,1007563.5796527778
45337,-48893,-9,P,-1.2518,0.5318,-67.3,17.7,0,173,0.0,0,1007710.9950231481
45325,-48887,-4,P,1.0223,0.9489,68.0,99.1,0,13,0.0,0,1007888.7822453703
45314,-48881,1,H,-0.505,1.0107,-50.8,46.4,59,10,43.0,52,1008065.377199074
45302,-48875,6,A,0.2734,0.9595,34.9,178.5,74,170,153.0,274,1008243.0125347222
45290,-48869,11,T,0.1792,1.0452,-7.7,-164.7,80,190,153.0,258,1008419.9822222223
45279,-48863,16,A,-0.4945,0.9502,-13.1,176.9,60,348,209.0,394,1008597.0432407408
45267,-48857,21,T,0.852,1.0211,42.4,-22.8,31,198,137.0,104,1008774.625474537
45257,-48852,-12,P,1.4542,0.1642,71.5,-164.0,0,85,0.0,0,1008921.7185185186
45255,-48851,26,P,-1.2352,0.5621,-70.6,174.6,0,311,0.0,0,1008951.1752430554
45246,-48846,-7,P,-1.3058,0.4387,-71.7,-67.9,0,86,0.0,0,1009099.4708449075
45234,-48840,-2,T,0.6496,1.0576,36.0,77.8,49,157,248.0,279,1009276.2734143519
45222,-48834,3,A,-0.6477,0.9197,-32.8,-14.4,49,21,394.0,565,1009453.526261574
45211,-48828,8,T,-0.0878,1.0742,-11.4,-158.1,85,343,242.0,391,1009630.9760648148
45199,-48822,13,A,0.0521,0.938,13.1,6.6,87,196,231.0,471,1009807.5086458334
45187,-48816,18,T,-0.839,1.0294,-63.3,-4.3,33,323,183.0,119,1009985.6332291667
45176,-48810,23,A,0.7585,0.9839,61.0,-48.4,40,209,88.0,75,1010161.7208217593
45166,-48805,-10,P,1.2051,0.611,67.8,18.9,0,169,0.0,0,1010310.4489004628
45154,-48799,-5,P,-1.1756,0.6819,-66.8,-129.1,0,1,0.0,0,1010486.876261574
45153,-48798,33,P,1.4157,0.2262,69.4,-109.9,0,328,0.0,0,1010516.2365162037
45143,-48793,0,A,0.5161,0.9243,7.8,28.7,59,180,333.0,658,1010664.4526736111
45131,-48787,5,T,-0.4692,1.0593,-4.1,-18.5,62,356,221.0,348,1010841.5759837962
45120,-48781,10,A,-0.1977,0.9514,-35.5,11.1,78,6,182.0,324,1011018.4940856482
45108,-48775,15,H,0.2846,1.0139,40.3,130.4,73,170,50.0,76,1011196.1458912038
45096,-48769,20,A,-0.8854,0.9946,-80.4,-169.0,27,69,41.0,20,1011372.8136458333
45085,-48763,25,P,1.0914,0.8113,63.9,-120.4,0,28,0.0,0,1011550.4354861111
45075,-48758,-8,P,1.1685,0.6919,61.6,-94.1,0,237,0.0,0,1011697.9449768518
45073,-48757,30,P,-1.5092,0.0512,-63.7,-98.4,0,149,0.0,0,1011727.3880555555
45063,-48752,-3,A,-0.9784,0.9462,-54.8,-81.5,11,313,978.0,274,1011874.8748958334
45052,-48746,2,H3,0.5284,1.0143,17.4,-2.2,58,208,57.0,77,1012052.5624421296
